SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude
F:/img05/JPG/DJI_(1).JPG,DJI_(1).JPG,31.05865236,120.9067704,517.016
F:/img05/JPG/DJI_(10).JPG,DJI_(10).JPG,31.06506589,120.9046745,516.895
F:/img05/JPG/DJI_(100).JPG,DJI_(100).JPG,31.06767372,120.8724655,512.559
F:/img05/JPG/DJI_(101).JPG,DJI_(101).JPG,31.06498633,120.871616,512.567
F:/img05/JPG/DJI_(102).JPG,DJI_(102).JPG,31.06229839,120.8707654,512.561
F:/img05/JPG/DJI_(103).JPG,DJI_(103).JPG,31.05961064,120.8699214,512.539
F:/img05/JPG/DJI_(104).JPG,DJI_(104).JPG,31.05961286,120.8699192,512.676
F:/img05/JPG/DJI_(105).JPG,DJI_(105).JPG,31.0569245,120.8690743,512.655
F:/img05/JPG/DJI_(106).JPG,DJI_(106).JPG,31.05577617,120.8687086,512.825
F:/img05/JPG/DJI_(107).JPG,DJI_(107).JPG,31.05220136,120.8634581,512.59
F:/img05/JPG/DJI_(108).JPG,DJI_(108).JPG,31.05488092,120.8642995,512.661
F:/img05/JPG/DJI_(109).JPG,DJI_(109).JPG,31.05756803,120.8651477,512.729
F:/img05/JPG/DJI_(11).JPG,DJI_(11).JPG,31.06237931,120.9038271,516.9
F:/img05/JPG/DJI_(110).JPG,DJI_(110).JPG,31.06025594,120.8659949,512.73
F:/img05/JPG/DJI_(111).JPG,DJI_(111).JPG,31.06294403,120.8668425,512.709
F:/img05/JPG/DJI_(112).JPG,DJI_(112).JPG,31.06563075,120.8676905,512.652
F:/img05/JPG/DJI_(113).JPG,DJI_(113).JPG,31.06832022,120.8685373,512.711
F:/img05/JPG/DJI_(114).JPG,DJI_(114).JPG,31.07100739,120.8693862,512.666
F:/img05/JPG/DJI_(115).JPG,DJI_(115).JPG,31.07369528,120.8702335,512.642
F:/img05/JPG/DJI_(116).JPG,DJI_(116).JPG,31.07638483,120.8710818,512.618
F:/img05/JPG/DJI_(117).JPG,DJI_(117).JPG,31.07907311,120.871929,512.676
F:/img05/JPG/DJI_(118).JPG,DJI_(118).JPG,31.08176003,120.8727777,512.667
F:/img05/JPG/DJI_(119).JPG,DJI_(119).JPG,31.08333578,120.8732739,512.658
F:/img05/JPG/DJI_(12).JPG,DJI_(12).JPG,31.05969133,120.9029807,516.895
F:/img05/JPG/DJI_(120).JPG,DJI_(120).JPG,31.08287781,120.869005,512.675
F:/img05/JPG/DJI_(121).JPG,DJI_(121).JPG,31.08019206,120.8681476,512.752
F:/img05/JPG/DJI_(122).JPG,DJI_(122).JPG,31.07750208,120.867302,512.608
F:/img05/JPG/DJI_(123).JPG,DJI_(123).JPG,31.07481336,120.8664547,512.59
F:/img05/JPG/DJI_(124).JPG,DJI_(124).JPG,31.07212567,120.8656062,512.619
F:/img05/JPG/DJI_(125).JPG,DJI_(125).JPG,31.07213625,120.8655994,512.719
F:/img05/JPG/DJI_(126).JPG,DJI_(126).JPG,31.06943842,120.8647592,512.66
F:/img05/JPG/DJI_(127).JPG,DJI_(127).JPG,31.0667495,120.8639098,512.641
F:/img05/JPG/DJI_(128).JPG,DJI_(128).JPG,31.06406147,120.8630623,512.577
F:/img05/JPG/DJI_(129).JPG,DJI_(129).JPG,31.06137289,120.8622136,512.596
F:/img05/JPG/DJI_(13).JPG,DJI_(13).JPG,31.05800572,120.9024484,516.852
F:/img05/JPG/DJI_(130).JPG,DJI_(130).JPG,31.05868483,120.8613652,512.531
F:/img05/JPG/DJI_(131).JPG,DJI_(131).JPG,31.0559965,120.8605171,512.636
F:/img05/JPG/DJI_(132).JPG,DJI_(132).JPG,31.053325,120.8596748,512.549
F:/img05/JPG/DJI_(133).JPG,DJI_(133).JPG,31.05678839,120.8566445,512.782
F:/img05/JPG/DJI_(134).JPG,DJI_(134).JPG,31.05947603,120.8574863,512.683
F:/img05/JPG/DJI_(135).JPG,DJI_(135).JPG,31.062165,120.8583341,512.762
F:/img05/JPG/DJI_(136).JPG,DJI_(136).JPG,31.06485247,120.8591814,512.72
F:/img05/JPG/DJI_(137).JPG,DJI_(137).JPG,31.06754083,120.8600284,512.694
F:/img05/JPG/DJI_(138).JPG,DJI_(138).JPG,31.07022925,120.8608767,512.724
F:/img05/JPG/DJI_(139).JPG,DJI_(139).JPG,31.07022803,120.8608702,513.07
F:/img05/JPG/DJI_(14).JPG,DJI_(14).JPG,31.05735319,120.8981215,516.936
F:/img05/JPG/DJI_(140).JPG,DJI_(140).JPG,31.07291889,120.8617238,512.871
F:/img05/JPG/DJI_(141).JPG,DJI_(141).JPG,31.07560653,120.8625714,512.905
F:/img05/JPG/DJI_(142).JPG,DJI_(142).JPG,31.07829375,120.863419,512.844
F:/img05/JPG/DJI_(143).JPG,DJI_(143).JPG,31.08098233,120.8642671,512.887
F:/img05/JPG/DJI_(144).JPG,DJI_(144).JPG,31.08245522,120.8647321,512.894
F:/img05/JPG/DJI_(145).JPG,DJI_(145).JPG,31.07959806,120.8597024,512.843
F:/img05/JPG/DJI_(146).JPG,DJI_(146).JPG,31.07690842,120.8588479,512.856
F:/img05/JPG/DJI_(147).JPG,DJI_(147).JPG,31.07421872,120.858001,512.86
F:/img05/JPG/DJI_(148).JPG,DJI_(148).JPG,31.07153017,120.8571528,512.881
F:/img05/JPG/DJI_(149).JPG,DJI_(149).JPG,31.06884161,120.8563048,512.892
F:/img05/JPG/DJI_(15).JPG,DJI_(15).JPG,31.06003511,120.8989608,516.947
F:/img05/JPG/DJI_(150).JPG,DJI_(150).JPG,31.06615219,120.8554551,512.849
F:/img05/JPG/DJI_(151).JPG,DJI_(151).JPG,31.06346322,120.8546096,512.757
F:/img05/JPG/DJI_(152).JPG,DJI_(152).JPG,31.06077678,120.8537583,512.888
F:/img05/JPG/DJI_(153).JPG,DJI_(153).JPG,31.06060689,120.8537076,513.006
F:/img05/JPG/DJI_(154).JPG,DJI_(154).JPG,31.06441603,120.8507846,512.952
F:/img05/JPG/DJI_(155).JPG,DJI_(155).JPG,31.06710428,120.8516259,512.903
F:/img05/JPG/DJI_(156).JPG,DJI_(156).JPG,31.06979311,120.8524732,512.942
F:/img05/JPG/DJI_(157).JPG,DJI_(157).JPG,31.07248189,120.8533216,512.93
F:/img05/JPG/DJI_(158).JPG,DJI_(158).JPG,31.07248489,120.853323,512.903
F:/img05/JPG/DJI_(159).JPG,DJI_(159).JPG,31.07516953,120.8541687,512.895
F:/img05/JPG/DJI_(16).JPG,DJI_(16).JPG,31.06003144,120.8989594,516.743
F:/img05/JPG/DJI_(160).JPG,DJI_(160).JPG,31.07785819,120.855017,512.917
F:/img05/JPG/DJI_(161).JPG,DJI_(161).JPG,31.07936236,120.8554915,512.947
F:/img05/JPG/DJI_(162).JPG,DJI_(162).JPG,31.07598081,120.8502953,512.863
F:/img05/JPG/DJI_(163).JPG,DJI_(163).JPG,31.07329106,120.8494419,512.878
F:/img05/JPG/DJI_(164).JPG,DJI_(164).JPG,31.07081406,120.8486628,512.78
F:/img05/JPG/DJI_(17).JPG,DJI_(17).JPG,31.06272044,120.8998079,516.525
F:/img05/JPG/DJI_(18).JPG,DJI_(18).JPG,31.06540644,120.9006546,516.571
F:/img05/JPG/DJI_(19).JPG,DJI_(19).JPG,31.06809431,120.9015032,516.642
F:/img05/JPG/DJI_(2).JPG,DJI_(2).JPG,31.06134067,120.9076259,516.843
F:/img05/JPG/DJI_(20).JPG,DJI_(20).JPG,31.07078014,120.9023506,516.644
F:/img05/JPG/DJI_(21).JPG,DJI_(21).JPG,31.07346711,120.9031976,516.594
F:/img05/JPG/DJI_(22).JPG,DJI_(22).JPG,31.07603103,120.9040067,516.618
F:/img05/JPG/DJI_(23).JPG,DJI_(23).JPG,31.07803478,120.9005178,516.733
F:/img05/JPG/DJI_(24).JPG,DJI_(24).JPG,31.07535125,120.8996664,516.692
F:/img05/JPG/DJI_(25).JPG,DJI_(25).JPG,31.07266483,120.8988194,516.669
F:/img05/JPG/DJI_(26).JPG,DJI_(26).JPG,31.06997844,120.897971,516.68
F:/img05/JPG/DJI_(27).JPG,DJI_(27).JPG,31.067286,120.8971248,516.712
F:/img05/JPG/DJI_(28).JPG,DJI_(28).JPG,31.06459808,120.8962765,516.631
F:/img05/JPG/DJI_(29).JPG,DJI_(29).JPG,31.06191433,120.8954292,516.596
F:/img05/JPG/DJI_(3).JPG,DJI_(3).JPG,31.06402661,120.9084734,516.82
F:/img05/JPG/DJI_(30).JPG,DJI_(30).JPG,31.05922825,120.8945805,516.695
F:/img05/JPG/DJI_(31).JPG,DJI_(31).JPG,31.05654131,120.8937326,516.565
F:/img05/JPG/DJI_(32).JPG,DJI_(32).JPG,31.05385486,120.892885,516.591
F:/img05/JPG/DJI_(33).JPG,DJI_(33).JPG,31.05116758,120.8920379,516.561
F:/img05/JPG/DJI_(34).JPG,DJI_(34).JPG,31.05075883,120.8919079,516.686
F:/img05/JPG/DJI_(35).JPG,DJI_(35).JPG,31.05253411,120.8883459,516.735
F:/img05/JPG/DJI_(36).JPG,DJI_(36).JPG,31.05521897,120.8891868,516.679
F:/img05/JPG/DJI_(37).JPG,DJI_(37).JPG,31.05790592,120.8900339,516.692
F:/img05/JPG/DJI_(38).JPG,DJI_(38).JPG,31.06059319,120.890882,516.688
F:/img05/JPG/DJI_(39).JPG,DJI_(39).JPG,31.0605945,120.8908832,516.896
F:/img05/JPG/DJI_(4).JPG,DJI_(4).JPG,31.06671308,120.9093203,516.849
F:/img05/JPG/DJI_(40).JPG,DJI_(40).JPG,31.06327917,120.8917288,516.85
F:/img05/JPG/DJI_(41).JPG,DJI_(41).JPG,31.06596628,120.8925754,516.798
F:/img05/JPG/DJI_(42).JPG,DJI_(42).JPG,31.0686555,120.8934249,516.733
F:/img05/JPG/DJI_(43).JPG,DJI_(43).JPG,31.07134142,120.8942715,516.799
F:/img05/JPG/DJI_(44).JPG,DJI_(44).JPG,31.07402886,120.8951191,516.802
F:/img05/JPG/DJI_(45).JPG,DJI_(45).JPG,31.07671494,120.8959678,516.814
F:/img05/JPG/DJI_(46).JPG,DJI_(46).JPG,31.07930011,120.8967818,516.85
F:/img05/JPG/DJI_(47).JPG,DJI_(47).JPG,31.08056961,120.8930601,516.938
F:/img05/JPG/DJI_(48).JPG,DJI_(48).JPG,31.07788697,120.8922084,516.937
F:/img05/JPG/DJI_(49).JPG,DJI_(49).JPG,31.07519872,120.8913611,516.837
F:/img05/JPG/DJI_(5).JPG,DJI_(5).JPG,31.06939992,120.9101676,516.825
F:/img05/JPG/DJI_(50).JPG,DJI_(50).JPG,31.07250533,120.8905141,516.753
F:/img05/JPG/DJI_(51).JPG,DJI_(51).JPG,31.06982542,120.8896664,516.759
F:/img05/JPG/DJI_(52).JPG,DJI_(52).JPG,31.06712875,120.8888197,516.772
F:/img05/JPG/DJI_(53).JPG,DJI_(53).JPG,31.06445067,120.8879724,516.809
F:/img05/JPG/DJI_(54).JPG,DJI_(54).JPG,31.06176294,120.8871216,516.861
F:/img05/JPG/DJI_(55).JPG,DJI_(55).JPG,31.05907581,120.8862764,516.839
F:/img05/JPG/DJI_(56).JPG,DJI_(56).JPG,31.05638706,120.8854283,516.797
F:/img05/JPG/DJI_(57).JPG,DJI_(57).JPG,31.05431186,120.8847733,516.805
F:/img05/JPG/DJI_(58).JPG,DJI_(58).JPG,31.05431356,120.8847717,516.911
F:/img05/JPG/DJI_(59).JPG,DJI_(59).JPG,31.05608603,120.8812088,516.925
F:/img05/JPG/DJI_(6).JPG,DJI_(6).JPG,31.06992742,120.9103341,516.9
F:/img05/JPG/DJI_(60).JPG,DJI_(60).JPG,31.0587705,120.88205,516.777
F:/img05/JPG/DJI_(61).JPG,DJI_(61).JPG,31.06145858,120.8828969,516.837
F:/img05/JPG/DJI_(62).JPG,DJI_(62).JPG,31.06414647,120.8837459,516.859
F:/img05/JPG/DJI_(63).JPG,DJI_(63).JPG,31.06683447,120.8845929,516.848
F:/img05/JPG/DJI_(64).JPG,DJI_(64).JPG,31.06952167,120.8854403,516.845
F:/img05/JPG/DJI_(65).JPG,DJI_(65).JPG,31.07220925,120.8862882,516.879
F:/img05/JPG/DJI_(66).JPG,DJI_(66).JPG,31.07489561,120.8871363,516.855
F:/img05/JPG/DJI_(67).JPG,DJI_(67).JPG,31.07758319,120.8879835,516.775
F:/img05/JPG/DJI_(68).JPG,DJI_(68).JPG,31.08027122,120.8888302,516.844
F:/img05/JPG/DJI_(69).JPG,DJI_(69).JPG,31.08183589,120.8893258,516.82
F:/img05/JPG/DJI_(7).JPG,DJI_(7).JPG,31.07311986,120.9072211,516.907
F:/img05/JPG/DJI_(70).JPG,DJI_(70).JPG,31.08268767,120.8854706,516.938
F:/img05/JPG/DJI_(71).JPG,DJI_(71).JPG,31.08000456,120.8846193,516.888
F:/img05/JPG/DJI_(72).JPG,DJI_(72).JPG,31.07731056,120.8837711,516.891
F:/img05/JPG/DJI_(73).JPG,DJI_(73).JPG,31.07462072,120.8829238,516.869
F:/img05/JPG/DJI_(74).JPG,DJI_(74).JPG,31.07193411,120.8820771,516.843
F:/img05/JPG/DJI_(75).JPG,DJI_(75).JPG,31.0692475,120.8812263,516.781
F:/img05/JPG/DJI_(76).JPG,DJI_(76).JPG,31.06656192,120.8803786,516.771
F:/img05/JPG/DJI_(77).JPG,DJI_(77).JPG,31.06655022,120.8803693,512.721
F:/img05/JPG/DJI_(78).JPG,DJI_(78).JPG,31.06387894,120.8795264,512.653
F:/img05/JPG/DJI_(79).JPG,DJI_(79).JPG,31.06118983,120.8786787,512.635
F:/img05/JPG/DJI_(8).JPG,DJI_(8).JPG,31.07043878,120.9063699,516.862
F:/img05/JPG/DJI_(80).JPG,DJI_(80).JPG,31.05850206,120.8778327,512.619
F:/img05/JPG/DJI_(81).JPG,DJI_(81).JPG,31.0578635,120.8776308,512.588
F:/img05/JPG/DJI_(82).JPG,DJI_(82).JPG,31.05810061,120.8735794,512.643
F:/img05/JPG/DJI_(83).JPG,DJI_(83).JPG,31.06078206,120.874422,512.671
F:/img05/JPG/DJI_(84).JPG,DJI_(84).JPG,31.06346872,120.8752693,512.657
F:/img05/JPG/DJI_(85).JPG,DJI_(85).JPG,31.06615714,120.8761179,512.621
F:/img05/JPG/DJI_(86).JPG,DJI_(86).JPG,31.06884422,120.8769651,512.598
F:/img05/JPG/DJI_(87).JPG,DJI_(87).JPG,31.07153208,120.8778132,512.639
F:/img05/JPG/DJI_(88).JPG,DJI_(88).JPG,31.07421983,120.8786607,512.656
F:/img05/JPG/DJI_(89).JPG,DJI_(89).JPG,31.07690736,120.8795078,512.633
F:/img05/JPG/DJI_(9).JPG,DJI_(9).JPG,31.06775281,120.9055225,516.891
F:/img05/JPG/DJI_(90).JPG,DJI_(90).JPG,31.07959544,120.8803562,512.63
F:/img05/JPG/DJI_(91).JPG,DJI_(91).JPG,31.08228258,120.8812036,512.625
F:/img05/JPG/DJI_(92).JPG,DJI_(92).JPG,31.08228189,120.8812039,512.675
F:/img05/JPG/DJI_(93).JPG,DJI_(93).JPG,31.0833325,120.8815357,512.616
F:/img05/JPG/DJI_(94).JPG,DJI_(94).JPG,31.0838005,120.8775563,512.737
F:/img05/JPG/DJI_(95).JPG,DJI_(95).JPG,31.08111461,120.8767048,512.664
F:/img05/JPG/DJI_(96).JPG,DJI_(96).JPG,31.078427,120.8758555,512.597
F:/img05/JPG/DJI_(97).JPG,DJI_(97).JPG,31.07573733,120.8750085,512.536
F:/img05/JPG/DJI_(98).JPG,DJI_(98).JPG,31.07305081,120.8741625,512.603
F:/img05/JPG/DJI_(99).JPG,DJI_(99).JPG,31.07036103,120.8733145,512.605
